location,total_2020,total_2021,change_rate
Afghanistan,28095.16663342762,28618.218273734958,0.01861713963586218
Albania,26885.79320878357,27131.2210642354,0.009128533182783326
Algeria,28418.77432094203,28201.112291590693,-0.007659092784692689
American Samoa,23741.1233064972,24489.11378067004,0.03150611133754304
Andorra,35797.05093150008,35734.129106245084,-0.0017577376799950085
Angola,29875.49763409256,30616.549944552167,0.024804685081260422
Argentina,35029.76919344329,35890.71924723883,0.0245776684693854
Armenia,30731.005208646096,30677.04878055545,-0.001755765153932052
Bahamas,34448.37788085552,35947.19776873926,0.04350915718201918
Bahrain,30682.833053931517,30748.409072156093,0.0021372217522844846
Bangladesh,26144.83853828589,26886.944782711893,0.028384426369253698
Barbados,33764.29254201925,34389.42194066681,0.018514511976508878
Belgium,33186.163980875834,32809.18352728739,-0.011359567011290882
Belize,32902.17598166689,33829.0789431325,0.02817147905299883
Benin,28389.370204821887,28834.333661274297,0.015673593786762946
Bermuda,34192.96455393273,34724.515470152124,0.015545622415423331
Bhutan,24552.531400908305,24175.57916390074,-0.015352886871519065
Botswana,25098.70027244454,25640.724229492185,0.021595698229948727
Brazil,39947.85041642039,40624.817098854764,0.016946260571660418
Bulgaria,25489.311760247707,25880.155093517187,0.015333616574105651
Burkina Faso,28480.065537833096,28793.565488290515,0.011007697648762908
Burundi,23722.279650167093,24311.76557279822,0.0248494635138059
Cabo Verde,29231.216557817417,29783.5069411994,0.01889385555642509
Cambodia,20382.98610836491,21155.223098255854,0.03788635216574227
Cameroon,28075.46865698609,28722.747536510902,0.02305496258790852
Canada,32582.81807681996,32651.91676033927,0.0021207092448663565
Chad,30119.565023919808,29089.301696882612,-0.03420578372293888
Chile,37571.504062060834,38148.64736931724,0.01536119784566182
China,26307.61221824458,26197.167030091907,-0.004198221687184447
Colombia,26087.54812138186,26599.92004137805,0.01964047819335842
Comoros,26656.85968593312,26943.060782805067,0.010736489603198712
Cook Islands,24004.92806611222,24594.58875656555,0.024564151528775197
Costa Rica,28911.79328128133,29566.6770879387,0.02265109605225935
Croatia,29052.53321127364,29607.168222273045,0.019090762480711426
Cuba,34874.147650910614,35832.88506453075,0.027491350418569968
Czechia,27541.338118917178,28185.96185832798,0.02340567973231604
Denmark,31588.72995263974,31341.3321021248,-0.00783183910482811
Djibouti,23814.547818299383,25047.90653021574,0.05179013774801255
Dominica,33339.42865933233,34077.25269004828,0.02213067411127994
Ecuador,33481.10559898887,33138.711290530075,-0.010226493490380309
Egypt,30395.30983071355,30519.133466358322,0.004073774418961522
El Salvador,27703.32886111533,27995.934087113048,0.010562096254375491
Equatorial Guinea,29187.138549835752,29350.831407146074,0.005608390045869795
Eritrea,24730.32757665158,24731.850815841113,6.159397544622353e-05
Estonia,24960.99064705849,25378.31989973109,0.016719258404985615
Eswatini,26190.804348165275,26713.59643089875,0.019960902146561887
Ethiopia,25847.27454686432,26562.50434858996,0.0276713817709809
Fiji,22537.38782924397,23355.12159620585,0.0362834314765089
Finland,26897.19523946339,26912.316512455956,0.0005621877247029383
France,35906.68584799839,36069.223714867425,0.004526674156370031
Gabon,29988.54163715142,30538.07340408652,0.018324724609292537
Gambia,28201.69573386919,28598.82181882219,0.014081638519206742
Georgia,26391.291324232443,26431.997840566914,0.0015424223026591294
Germany,29490.754653846787,29623.85623491609,0.004513332487812096
Ghana,27091.658824334932,27642.35704074989,0.020327223961653252
Greece,38057.616257687594,38576.33520512821,0.013629832828424665
Greenland,36231.30974330463,36517.128717452346,0.007888728731385044
Grenada,33063.64491310827,34152.55309814071,0.03293370068224791
Guam,23890.700010791406,24440.47999082055,0.023012301011724565
Guatemala,28635.28611632234,29277.77775207546,0.02243706010630348
Guyana,32149.883530608196,33130.58785050571,0.03050413289876583
Haiti,31921.138673705904,32733.88793805111,0.025461161415732462
Honduras,26763.755944652443,26953.025455230643,0.0070718590832172645
Hungary,26711.699320659798,27006.537566947085,0.011037794441600662
Iceland,34329.0242773142,34879.00994411128,0.016021010744559118
India,27658.33306728941,27971.513543820758,0.011323186967537624
Indonesia,18927.97230822303,19367.84212413252,0.02323914092575004
Iraq,30786.13237664004,30551.69726455594,-0.007614958229114337
Ireland,37039.41166002593,37773.983339375234,0.01983216380680466
Israel,31374.780703235367,31711.12501545073,0.010720212370462189
Italy,30489.28179002698,30390.75256417197,-0.003231602060473578
Jamaica,32463.664160889624,33332.34718802265,0.026758625361198916
Japan,24528.101649056658,25470.68495291497,0.038428709948475075
Jordan,29804.86370684039,29793.37149785392,-0.0003855816654458591
Kazakhstan,21180.556312045373,21697.71533869568,0.02441668759928652
Kenya,23699.96286440127,23953.445942078262,0.010695505268395954
Kiribati,23485.07280973217,24153.57545153691,0.02846500188527053
Kuwait,29336.153130880768,29588.533218528537,0.00860303961878698
Latvia,25965.51975692969,26613.316206617328,0.024948333626741797
Lesotho,25361.38521254242,26110.521772421896,0.029538471719951342
Liberia,29976.000400861914,30313.23871136106,0.011250277087981661
Libya,31415.25411249132,31732.903260365005,0.010111302831938025
Lithuania,27713.48953529315,28183.8233974524,0.016971297012607578
Luxembourg,33628.162038295435,33850.403740926304,0.006608797185459668
Madagascar,24318.75808745072,24705.92397718864,0.015920463057597936
Malawi,24393.55092476242,25278.025819527553,0.03625855446356036
Malaysia,20027.136154229785,21672.43388308056,0.08215342004869149
Mali,26643.23716907638,27024.889991886488,0.014324566507746897
Malta,38197.809211069005,38338.5840126906,0.0036854155913422916
Mauritania,24850.999969036828,24921.95984704233,0.0028554133875463667
Mauritius,22581.300152080756,23225.159191734223,0.028512930403351417
Mexico,29087.949747560644,29312.32599061652,0.007713718051740343
Monaco,34640.80508638839,35044.416426679534,0.011651326788872369
Mongolia,22886.694747209927,23596.38093746206,0.03100867985049045
Montenegro,29227.96116947293,29783.35564362288,0.019002162721155905
Morocco,29585.86936893589,29781.78442141015,0.006621912982552473
Mozambique,25655.838233010934,26512.106908653877,0.033375197795767066
Myanmar,19534.141888259997,20006.93684507462,0.02420351810277219
Namibia,24030.022712105958,24741.700555599367,0.029616195207958627
Nauru,22326.8706414248,22996.22529758339,0.029979779383711908
Nepal,24077.15995113367,24630.303317281578,0.0229737796015207
New Zealand,39860.8255923917,39712.12181998402,-0.0037305743219744865
Nicaragua,27808.17085896662,28238.39968198612,0.015471309680937734
Niger,25427.176862074848,25489.54975066987,0.0024530009341325134
Nigeria,28048.640710533342,28436.35737420124,0.01382301080716175
North Macedonia,27244.052515339965,27658.4852304622,0.015211860089055609
Norway,32127.05350859875,32496.28694999445,0.011492913326050113
Oman,27956.84021939228,28573.33092884593,0.02205151600165533
Pakistan,25426.24953718119,25572.441119186973,0.005749632158372618
Palau,24468.183594083952,25105.498662817023,0.02604668492381119
Palestine,29423.6194156043,30097.526500131124,0.022903609342140637
Panama,25720.855454954213,25739.843987952336,0.0007382543333901854
Papua New Guinea,21545.35525448857,22779.1607397373,0.05726549739724942
Paraguay,33482.569922526345,34770.26155799856,0.03845856630634202
Peru,35709.23744385138,35869.09057447085,0.004476520420544442
Philippines,19106.166108534322,19890.027629492717,0.041026625462460546
Poland,24927.28559120825,25178.787753549943,0.01008943237808444
Portugal,42682.591680552345,42930.69730357272,0.0058128059532388055
Romania,25507.109464228928,25762.304872593766,0.010004873689146274
Russian Federation,25904.586243216603,26231.54959567533,0.012621832651133157
Rwanda,24772.748854324924,26001.48420642535,0.049600282928872814
Samoa,22073.52957716708,22689.522801570838,0.027906421682599606
San Marino,35799.89916333775,35589.40338545013,-0.005879786893455439
Saudi Arabia,33304.06197089213,33322.31530721026,0.0005480813822074244
Senegal,26419.37452605267,27084.377149400083,0.025171020710260967
Serbia,29287.28738050594,29525.327877444623,0.008127775503617552
Seychelles,19174.51236000413,19868.80736094054,0.03620926508590808
Sierra Leone,29748.747499703928,29410.76033730222,-0.011361391346142242
Singapore,21930.45535032004,22460.688160921185,0.02417792071031515
Slovakia,25846.663401487804,26375.230066023574,0.020450092776978897
Slovenia,29410.24321556538,29409.52193001689,-2.4524977342202778e-05
Solomon Islands,22539.79203712369,23617.70129042995,0.0478225021566709
Somalia,21844.07094671712,22464.93955720122,0.028422751967733015
South Africa,27469.82617450771,28108.15807164713,0.023237565941782227
South Sudan,27532.85230474115,27734.7502540396,0.00733298341427866
Spain,35767.40188036668,35977.69877658949,0.005879568690121911
Sri Lanka,19995.27721511483,20935.17651811682,0.04700606512679402
Suriname,31890.519898806324,32988.318752384745,0.034423987349905566
Sweden,32984.97062324539,32289.182630619653,-0.021094091626548152
Tajikistan,22527.280434362438,22752.044814538036,0.009977430734725956
Thailand,19524.36919273645,20234.16859753746,0.03635453713224571
Togo,33549.134623256774,34017.986158599524,0.013975070910405393
Tonga,26954.82103256308,27450.753104962412,0.018398640888775217
Tunisia,33813.57139294094,34404.25489399096,0.017468829133302825
Turkmenistan,23067.949608195424,22997.248547110044,-0.0030649044360778945
Tuvalu,22914.38514132099,23498.79315709105,0.02550397979984255
Uganda,24005.452122501338,25305.98609114697,0.05417660796426266
Ukraine,30203.140739107916,31096.17762353115,0.029567682782966533
Uruguay,34125.45031765832,35187.635155057,0.031125884860457243
Uzbekistan,21254.479822197005,21222.672084657264,-0.0014965192188106332
Vanuatu,22080.091486250578,22565.527763155897,0.021985247534304968
Yemen,27117.3995295902,27060.20499489861,-0.0021091452603771627
Zambia,25009.609225485405,25923.988932666558,0.036561135319514625
Zimbabwe,24164.18576346404,24914.655131780608,0.031057093156901177
