Country,MentalHealthPercent,SocialMediaGrowth
Philippines,10.11737131933079,22.0
Thailand,10.14678289711989,5.8
Sri Lanka,10.58874033133407,23.0
Myanmar,10.06323865229778,32.0
Malaysia,11.05330454705126,7.7
China,13.20079169575798,13.0
Indonesia,9.73150794529371,6.3
Cambodia,10.631344272250221,24.0
Kazakhstan,11.19158983499674,26.0
Armenia,15.41146495710039,20.0
Turkmenistan,11.917252561846741,108.0
Tonga,13.87058902011345,13.0
Tajikistan,11.66440829687857,52.0
Mongolia,12.15747432671548,18.0
Kiribati,11.91490044504026,23.0
Samoa,11.49354684113416,7.7
Papua New Guinea,11.23185296718899,22.0
Georgia,13.31192436228436,15.0
Fiji,11.6608379282803,8.9
Solomon Islands,11.80103286590446,34.0
Vanuatu,11.23999838383021,16.0
Russian Federation,13.28362715355629,5.1
New Zealand,20.159224018524398,2.8
Andorra,17.888205681978768,3.8
Japan,12.99674615838479,4.9
Lithuania,14.17811416726141,5.6
Singapore,11.61690028569752,4.3
Romania,12.91820175718638,9.1
Czechia,14.18568967363614,7.0
Serbia,14.846471605228558,8.1
Ukraine,15.605667512040968,16.0
Croatia,14.838831285986759,4.8
Estonia,12.945432927725351,6.6
Belgium,16.72753035520151,11.0
Bulgaria,12.9431256318714,5.1
Hungary,13.58451178347502,8.3
Slovakia,13.290711990334911,11.0
North Macedonia,13.942089914788468,9.1
Slovenia,14.80352684436112,9.1
Montenegro,15.03997353663627,10.0
Latvia,13.50957594271681,10.0
Uzbekistan,10.89275759676955,44.0
Poland,12.71101248032144,11.0
Albania,13.63826454440596,14.0
Denmark,16.027259466749,2.4
Finland,13.69004842597625,6.1
France,18.37909721192211,13.0
Greece,19.281359573239552,9.7
Germany,15.11577232069178,13.0
Uruguay,17.73169625198292,7.4
Ireland,19.188306666829998,3.1
Dominica,16.85934408174506,7.7
Bahamas,17.78479132660473,4.0
Grenada,16.91699972136897,5.6
Spain,18.08196996388764,28.0
Cuba,17.672878693419587,55.5
Sweden,16.39983672506911,4.1
Haiti,16.111931753371998,15.0
Argentina,18.15189995146611,5.9
Jamaica,16.47031639343293,15.0
Malta,19.33255610829035,5.0
Canada,16.506902102420078,8.0
Barbados,16.98225326780167,5.3
Belize,16.81394284282366,8.3
Guyana,16.43022894682261,16.0
Norway,16.57151364095448,5.3
Chile,19.074520957012233,6.7
Israel,16.43543177311313,5.0
Italy,15.32557566221052,5.7
Iceland,17.74288223932977,3.6
Portugal,21.481268475589648,11.0
Luxembourg,17.20324423556217,7.9
Brazil,20.03258995822352,7.1
Kuwait,14.892267541909609,2.4
Peru,17.60830042887298,13.0
Nicaragua,14.259407084860301,13.0
Ecuador,16.551831651339892,17.0
Jordan,15.11650458001917,11.0
Iraq,15.479987260846121,19.0
Algeria,14.30152159925709,14.0
Bahrain,15.258724511478949,7.1
Egypt,15.452420355448309,17.0
Paraguay,17.32049826682261,7.5
Panama,13.107810851244201,17.0
Guatemala,14.74302998613325,18.0
Suriname,16.353515377185442,8.3
El Salvador,14.11406153298977,13.0
Costa Rica,14.83748650374283,5.4
Mexico,14.84082058273754,12.0
Honduras,13.510749626992661,17.0
Colombia,13.457319970011431,11.0
Oman,14.2376623576104,11.0
Libya,15.77292713700276,18.0
Saudi Arabia,16.61157648166776,8.0
Palestine,15.222319383844841,15.0
Morocco,14.97614479144643,22.0
Nepal,12.57095215287683,30.0
Bangladesh,13.552487502802691,25.0
Rwanda,13.087324881468728,39.0
Tunisia,17.240833109154742,12.0
Pakistan,13.061249040223618,24.0
Malawi,12.681065257458279,31.0
Somalia,11.137548755215269,31.0
Eritrea,12.405392878261988,-71.0
Madagascar,12.26081211431726,30.0
Comoros,13.51348805727218,18.0
Djibouti,12.577812942965942,30.0
Mozambique,13.124683243147869,20.0
Gabon,15.02364657753033,13.0
Kenya,11.98825629444252,25.0
Equatorial Guinea,14.714680709061401,30.0
Ethiopia,13.18203388747676,8.1
Mauritius,11.59640298070885,8.1
Angola,15.21135404775023,36.0
Burundi,12.13901279056248,30.0
Uganda,12.57446900634392,36.0
Bhutan,12.36310938611755,30.0
Afghanistan,14.09186397119105,22.0
Seychelles,10.08987011923743,2.7
India,13.850883918158269,21.0
Yemen,13.305682333337291,28.0
Zambia,12.827329397722309,13.0
Zimbabwe,12.631990928356029,33.0
South Africa,13.86196357003219,14.0
Botswana,12.8169600396001,20.0
Lesotho,12.88201359812177,23.0
Cabo Verde,15.032143390094928,11.0
Ghana,13.77212723895623,37.0
Burkina Faso,14.174966276198239,25.0
Eswatini,13.44904807642408,35.0
Cameroon,14.27592629772926,16.0
Benin,14.295369410057141,45.0
Liberia,14.893169668557041,26.0
Chad,14.359788715319349,42.0
Gambia,14.3028445839211,16.0
Mali,13.37321725954369,24.0
Namibia,12.505489629650878,13.0
Niger,12.571154289624639,20.0
Nigeria,13.99611602022541,22.0
Mauritania,12.53730868886254,19.0
American Samoa,12.39810881044881,21.0
Bermuda,17.141387098485993,4.5
Togo,16.73420889413411,37.0
Sierra Leone,14.498205241501921,21.0
Cook Islands,12.416457728026451,9.1
Senegal,13.49276219165216,15.0
South Sudan,13.67908335614609,61.0
San Marino,17.82487580694072,15.0
Greenland,18.62962297804585,4.7
Guam,12.34262310987267,7.1
Monaco,17.60069870335602,-19.0
Tuvalu,11.78964586039799,14.0
Palau,12.521730328951111,5.9
Nauru,11.61993389861334,12.0
