Country,Social Media Users (N)
Abkhazia,120000
Afghanistan,4400000
Aland Islands,22000
Albania,1600000
Algeria,25000000
American Samoa,34000
Andorra,54000
Angola,3000000
Anguillia,12000
Antigua & Barbuda,67000
Argentina,36000000
Armenia,1800000
Aruba,100000
Australia,20500000
Azerbajian,4300000
Bahamas,260000
Bahrain,1500000
Bangladesh,45000000
Barbados,200000
Belarus,3900000
Belgium,8830000
Belize,260000
Benin,1600000
Bermuda,46000
Bhutan,560000
Bolivia,8199999
"Bonaire, ST. Eaustatius & Saba",20000
Bosnia & Herzegovina,1800000
Botswana,1200000
Brazil,150000000
British Virgin Islands,25000
Brunei,435000
Bulgaria,4300000
Burkina Faso,2000000
Burundi,690000
Cabo Verde,300000
Cambodia,12000000
Cameroon,4300000
Canada,32200000
Cayman Islands,60000
Central African Public,140000
Chad,470000
Chile,16000000
China,930800000
Christmas Island,1200
Cocos (Keeling) Island,400000
Colombia,39000000
Comoros,200000
Democratic Republic of Congo,4000000
Republic of Congo,850000
Cook Islands,12000
Costa Rica,3900000
Cote Divoire,5900000
Croatia,2800000
Cuba,6280000
Curacao,130000
Cyprus,1000000
Czechia,7390000
Denmark,4850000
Djibouti,260000
Dominica,42000
Domican Republic,7000000
Ecuador,14000000
Egypt,49000000
El Salvador,4300000
Equatorial Guinea,130000
Eritrea,6300
Estonia,986000
Eswatini,350000
Ethiopia,6700000
Falkland Islands,3300
Faroe Islands,40000
Fiji,610000
Finland,4460000
France,49600000
French Guiana,130000
French Polynesia,210000
Gabon,850000
Gambia,430000
Georgia,3100000
Germany,66000000
Ghana,8199999
Gibraltar,27000
Greece,7400000
Greenland,45000
Grenada,75000
Guadeloupe,250000
Guam,150000
Guatemala,9300000
Guernsey,44000
Guinea,2000000
Guinea-bissau,280000
Guyana,500000
Haiti,2300000
Honduras,4800000
Hong Kong,6440000
Hungary,7090000
Iceland,290000
India,448000000
Indonesia,170000000
Iran,36000000
Iraq,25000000
Ireland,3790000
Isle of Man,60000
Israel,6810000
Italy,41000000
Jamaica,1500000
Japan,93800000
Jersey,75000
Jordan,6300000
Kazakhstan,12000000
Kenya,11000000
Kiribati,53000
North Korea,
South Korea,45790000
Kosovo,1100000
Kuwait,4250000
Krygyzstan,3200000
Laos,3600000
Latvia,1380000
Lebanon,4370000
Lesotho,530000
Liberia,670000
Libya,6000000
Liechtenstein,15000
Lithuania,2040000
Luxembourg,410000
Macau,420000
Madagascar,3000000
Malawi,670000
Malaysia,28000000
Maldives,380000
Mali,2100000
Malta,420000
Marshall islands,23000
Martinique,240000
Mauritania,940000
Mauritius,930000
Mayotte,97000
Mexico,100000000
Micronesia,44000
Moldova,1700000
Monaco,13000
Mongolia,2600000
Montenegro,430000
Montserrat,3000
Morocco,22000000
Mozambique,3000000
Myanmar,29000000
Namibia,800000
Nauru,9200
Nepal,13000000
Netherlands,15100000
New Caledonia,200000
New Zealand,3970000
Nicaragua,3500000
Niger,590000
Nigeria,33000000
Niue,1000
Norfolk Is.,800000
North Macedonia,1200000
Northern Mariana Is.,38000
Norway,4530000
Oman,4139999
Pakistan,46000000
Palau,17900
Palestine,3100000
Panama,2800000
Papua New Guinea,930000
Paraguay,4300000
Peru,27000000
Philippines,89000000
Pitcairn Islands,
Poland,25900000
Portugal,7800000
Puerto Rico,2320000
Qatar,2870000
Reunion,610000
Romania,12000000
Russian Federation,99000000
Rwanda,850000
St. Barthelemy,5600
St. Helena,2300
St. Kitts & Nevis,40000
St. Lucia,110000
St. Martin,18000
St. Pierre & Miquelon,4900
St. Vincent & The Grenadines,78000
Samoa,140000
San Marino,15000
Sao Tome & Principe,68000
Saudi Arabia,27800000
Senegal,3900000
Serbia,4600000
Seychelles,75000
Sierra Leone,850000
Singapore,4960000
St. Maarten,39000
Slovakia,4030000
Slovenia,1450000
Solomon Islands,130000
Somalia,2100000
South Africa,25000000
South Sudan,450000
Spain,37400000
Sri Lanka,7900000
Sudan,
Suriname,390000
Svalbard & Jan Mayen,600000
Swaziland,
Sweden,8320000
Swizterland,7100000
Syria,
Taiwan,19700000
Tajikistan,1000000
Tanzania,5400000
Thailand,55000000
Timore-Leste,
Togo,890000
Tokelau,500000
Tonga,77000
Transnistria,120000
Trinidad & Tobago,940000
Tunisia,8199999
Turkey,60000000
Turkmenistan,150000
Turks & Caicos Islands,34000
Tuvalu,6400
Uganda,3400000
Ukraine,25700000
U.A.E.,9840000
United Kingdom.,53000000
United States of America,240000000
U.S. Virgin Is.,33000
Uruguay,2900000
Uzbekistan,4600000
Vanuatu,110000
Vatican,
Venezuela,14000000
Vietnam,72000000
Wallis & Futuna,6000
Western Sahara,380000
Yemen,3200000
Zambia,2600000
Zimbabwe,1300000
